 W Density=19.3
 Energy(eV), Delta, Beta
  576.726868  0.00478715403  0.00319696567
  582.677185  0.00471297046  0.00313028251
  588.688904  0.00464079622  0.00306603964
  594.762573  0.00457376195  0.00300459703
  600.898926  0.00450875936  0.00294439425
  607.098572  0.00444606459  0.00288539845
  613.362305  0.00438657822  0.00282756938
  619.690552  0.00432950817  0.00277075497
  626.084106  0.00427620392  0.00271476037
  632.54364  0.00422562007  0.00265574525
  639.069763  0.00417661946  0.00259515224
  645.66333  0.0041300836  0.00252943579
  652.324829  0.00407894049  0.00246223737
  659.055115  0.00402501458  0.00239490648
  665.854797  0.00396752963  0.00232941005
  672.724609  0.00390897458  0.00226682564
  679.665344  0.00384937436  0.00220706197
  686.677734  0.00379148545  0.00215042778
  693.76239  0.00373479654  0.00209545204
  700.920166  0.00367947365  0.00204202114
  708.151794  0.00362568535  0.00198813574
  715.458069  0.00357223838  0.0019348627
  722.839661  0.00351778534  0.00188187056
  730.297485  0.00346327201  0.00183033233
  737.832214  0.00340906112  0.0017802068
  745.444702  0.00335497782  0.00173144392
  753.135681  0.00330145261  0.00168399932
  760.906067  0.00324852834  0.00163783971
  768.756592  0.00319610303  0.00159270875
  776.68811  0.00314443931  0.0015484764
  784.701477  0.00309352344  0.00150501588
  792.797546  0.00304232491  0.00146222895
  800.977051  0.00299152546  0.00142056867
  809.241028  0.00294098747  0.00138008851
  817.59021  0.00289085368  0.00134075747
  826.025635  0.00284131942  0.00130254473
  834.547974  0.00279224897  0.00126541802
  843.158325  0.00274375966  0.00122925383
  851.857422  0.00269592041  0.00119405671
  860.646423  0.00264856708  0.00115971407
  869.526001  0.00260176579  0.00112629542
  878.497192  0.00255549629  0.00109377259
  887.560913  0.00250966335  0.00106218422
  896.718201  0.00246449327  0.00103150343
  905.96991  0.00241992273  0.00100170285
  915.3172  0.00237597199  0.000972756243
  924.760803  0.00233269576  0.000944577332
  934.30188  0.00228996924  0.000916991616
  943.941345  0.00224779034  0.000890159165
  953.680359  0.00220622751  0.000864077825
  963.519836  0.00216507679  0.000838697597
  973.460754  0.00212453166  0.000814060564
  983.504333  0.00208460772  0.000790145015
  993.651489  0.00204523676  0.000766890764
  1003.90332  0.00200653542  0.000744300371
  1014.26093  0.00196847157  0.000722347526
  1024.72534  0.00193087163  0.000700703473
  1035.29785  0.00189384248  0.000679618795
  1045.97937  0.00185727642  0.00065909524
  1056.77112  0.00182108511  0.000639117789
  1067.67419  0.00178541499  0.000619716826
  1078.68982  0.00175013987  0.000600895088
  1089.81897  0.0017153729  0.000582643086
  1101.06299  0.001681161  0.000564944232
  1112.4231  0.00164734281  0.000547777279
  1123.90039  0.00161407131  0.000531128026
  1135.49597  0.0015813238  0.000514980406
  1147.2113  0.00154899107  0.000499321497
  1159.04749  0.00151720236  0.000484138814
  1171.00574  0.00148589374  0.000469418446
  1183.0874  0.0014550304  0.000455140369
  1195.2937  0.00142469932  0.00044129556
  1207.62598  0.00139481109  0.000427872495
  1220.08545  0.00136541354  0.000414854585
  1232.67346  0.00133654242  0.000402219332
  1245.39136  0.00130806677  0.000389854511
  1258.2406  0.00128007715  0.000377798482
  1271.22229  0.00125258067  0.000366053515
  1284.33789  0.00122520921  0.000354520802
  1297.58887  0.00119824905  0.000343347638
  1310.97656  0.0011716343  0.000332529104
  1324.50232  0.0011452873  0.000322048902
  1338.1676  0.00111935649  0.000311896059
  1351.974  0.00109371997  0.00030205652
  1365.92273  0.00106837344  0.000292527664
  1380.0155  0.00104342564  0.000283298694
  1394.25366  0.00101868657  0.000274356076
  1408.63867  0.000994254253  0.000265696959
  1423.17188  0.000970197609  0.000257311855
  1437.85535  0.000946230197  0.000249189383
  1452.69019  0.000922596548  0.000241318688
  1467.6781  0.000899255218  0.000233691244
