 Al Density=2.699
 Energy(eV), Delta, Beta
  5206.96484  2.04389398E-05  8.48439754E-07
  5214.17188  2.03818581E-05  8.4391138E-07
  5221.38818  2.03249365E-05  8.39407107E-07
  5228.61475  2.0268164E-05  8.34924492E-07
  5235.85156  2.02115498E-05  8.30467286E-07
  5243.09814  2.01550938E-05  8.2603384E-07
  5250.35498  2.00987943E-05  8.21624155E-07
  5257.62158  2.0042653E-05  8.17236469E-07
  5264.89844  1.99866663E-05  8.12873679E-07
  5272.18506  1.99308397E-05  8.0853448E-07
  5279.48193  1.98751677E-05  8.04218075E-07
  5286.78955  1.98196467E-05  7.99923328E-07
  5294.10645  1.97642876E-05  7.95653136E-07
  5301.43359  1.97090812E-05  7.91405682E-07
  5308.771  1.96540168E-05  7.87177441E-07
  5316.11914  1.95991015E-05  7.82972222E-07
  5323.47656  1.95443463E-05  7.78789627E-07
  5330.84473  1.94897384E-05  7.74628006E-07
  5338.22266  1.9435287E-05  7.7049009E-07
  5345.61084  1.93809883E-05  7.66374285E-07
  5353.00977  1.93268352E-05  7.62280308E-07
  5360.41846  1.92728385E-05  7.58207022E-07
  5367.83691  1.92189946E-05  7.54156929E-07
  5375.2666  1.91652944E-05  7.50128152E-07
  5382.70654  1.9111747E-05  7.46121032E-07
  5390.15625  1.90583523E-05  7.42133864E-07
  5397.61621  1.90051178E-05  7.38167046E-07
  5405.08691  1.89520306E-05  7.3422143E-07
  5412.56787  1.88990907E-05  7.30296961E-07
  5420.05859  1.88463036E-05  7.26392273E-07
  5427.56055  1.87936585E-05  7.22509526E-07
  5435.07275  1.87411588E-05  7.18647584E-07
  5442.59521  1.86888083E-05  7.14805083E-07
  5450.12793  1.86366051E-05  7.10984409E-07
  5457.67139  1.85845456E-05  7.07184086E-07
  5465.22461  1.85326371E-05  7.03404339E-07
  5472.78906  1.84808669E-05  6.99643351E-07
  5480.36328  1.84292403E-05  6.95900894E-07
  5487.94873  1.83777483E-05  6.92175774E-07
  5495.54395  1.83264037E-05  6.88470834E-07
  5503.15039  1.82751974E-05  6.84784425E-07
  5510.7666  1.82241401E-05  6.81119104E-07
  5518.39404  1.81732212E-05  6.77473224E-07
  5526.03125  1.81224477E-05  6.73847012E-07
  5533.68018  1.80718107E-05  6.70238876E-07
  5541.33838  1.80213228E-05  6.66651488E-07
  5549.0083  1.79709696E-05  6.63083028E-07
  5556.68799  1.79207618E-05  6.59532702E-07
  5564.37891  1.78706905E-05  6.56002499E-07
  5572.08057  1.78207465E-05  6.52491565E-07
  5579.79248  1.77709462E-05  6.48999503E-07
  5587.51465  1.7721286E-05  6.4552512E-07
  5595.24805  1.76717622E-05  6.42070404E-07
  5602.99219  1.76223748E-05  6.38634162E-07
  5610.74707  1.75731275E-05  6.35215144E-07
  5618.5127  1.75240166E-05  6.31815624E-07
  5626.28906  1.74750421E-05  6.28434236E-07
  5634.07617  1.74262059E-05  6.25070982E-07
  5641.87354  1.73775097E-05  6.21724837E-07
  5649.68262  1.73289427E-05  6.18397394E-07
  5657.50146  1.72805176E-05  6.15087231E-07
  5665.33203  1.72322234E-05  6.11793098E-07
  5673.17334  1.71840638E-05  6.08515506E-07
  5681.0249  1.71360443E-05  6.05256844E-07
  5688.8877  1.70881558E-05  6.02015405E-07
  5696.76123  1.70404019E-05  5.9879136E-07
  5704.64648  1.69927753E-05  5.95583401E-07
  5712.5415  1.69452906E-05  5.92393917E-07
  5720.44824  1.68979313E-05  5.89221315E-07
  5728.36572  1.68507067E-05  5.860648E-07
  5736.29395  1.68036167E-05  5.82926248E-07
  5744.23291  1.67566595E-05  5.79804578E-07
  5752.18311  1.67098387E-05  5.76697971E-07
  5760.14453  1.66631507E-05  5.73606258E-07
  5768.11719  1.66165919E-05  5.70532222E-07
  5776.10059  1.65701658E-05  5.67474558E-07
  5784.09473  1.65238689E-05  5.64432469E-07
  5792.1001  1.6477703E-05  5.6140766E-07
  5800.11621  1.64316643E-05  5.58399051E-07
  5808.14404  1.6385753E-05  5.5540653E-07
  5816.18262  1.63399727E-05  5.52429128E-07
  5824.23291  1.62943161E-05  5.49468552E-07
  5832.29346  1.62487922E-05  5.46524006E-07
  5840.36572  1.62033921E-05  5.43594979E-07
  5848.44922  1.61581065E-05  5.40678855E-07
  5856.54346  1.61129537E-05  5.37779556E-07
  5864.64941  1.6067921E-05  5.34895605E-07
  5872.76611  1.60230193E-05  5.32027286E-07
  5880.89453  1.59782394E-05  5.29173292E-07
  5889.03369  1.5933585E-05  5.26335612E-07
  5897.18457  1.5889058E-05  5.23513165E-07
  5905.34668  1.58446492E-05  5.20704816E-07
  5913.51953  1.58003713E-05  5.17912667E-07
  5921.70459  1.57562135E-05  5.15135355E-07
  5929.8999  1.57121849E-05  5.12373106E-07
  5938.10742  1.56682709E-05  5.09622339E-07
  5946.32617  1.56244841E-05  5.06885328E-07
  5954.55566  1.55808229E-05  5.04163097E-07
  5962.79785  1.55372745E-05  5.01454338E-07
