 Be Density=1.848
 Energy(eV), Delta, Beta
  509.890015  0.00140687288  0.000152140216
  515.150696  0.00137748756  0.000146310631
  520.465698  0.00134871306  0.000140704346
  525.83551  0.00132053753  0.000135312875
  531.260803  0.00129295001  0.000130128028
  536.742004  0.00126593967  0.000125141654
  542.279724  0.00123949593  0.00012034634
  547.874573  0.00121361134  0.000115734918
  553.527222  0.00118827668  0.000111300265
  559.238159  0.00116349559  0.000107035725
  565.007996  0.00113921589  0.000102884267
  570.837341  0.00111543352  9.88713218E-05
  576.726868  0.00109213125  9.50150861E-05
  582.677185  0.00106931094  9.13093536E-05
  588.688904  0.00104696362  8.77481652E-05
  594.762573  0.00102507556  8.43257512E-05
  600.898926  0.00100364396  8.10368147E-05
  607.098572  0.00098265917  7.78760586E-05
  613.362305  0.000962117512  7.48387392E-05
  619.690552  0.000942010782  7.19199088E-05
  626.084106  0.000922334555  6.91148525E-05
  632.54364  0.000903082022  6.64192339E-05
  639.069763  0.000884233916  6.38091005E-05
  645.66333  0.000865769864  6.12134027E-05
  652.324829  0.000847671763  5.87234172E-05
  659.055115  0.000829935132  5.63347312E-05
  665.854797  0.000812491286  5.40432957E-05
  672.724609  0.000795389817  5.18875422E-05
  679.665344  0.000778622867  4.98606569E-05
  686.677734  0.000762297481  4.79873888E-05
  693.76239  0.000746346661  4.61903583E-05
  700.920166  0.000730773201  4.44605212E-05
  708.151794  0.00071553915  4.27316736E-05
  715.458069  0.000700623204  4.10544708E-05
  722.839661  0.000686008367  3.94430026E-05
  730.297485  0.000671691261  3.7881051E-05
  737.832214  0.000657669327  3.63745057E-05
  745.444702  0.000643938198  3.49277834E-05
  753.135681  0.000630492985  3.35385848E-05
  760.906067  0.000617327809  3.22046035E-05
  768.756592  0.000604436442  3.09237548E-05
  776.68811  0.000591815275  2.96938542E-05
  784.701477  0.000579459011  2.85128717E-05
  792.797546  0.000567361945  2.73787791E-05
  800.977051  0.000555518258  2.62898593E-05
  809.241028  0.000543923466  2.52443442E-05
  817.59021  0.000532573496  2.42403385E-05
  826.025635  0.000521461479  2.32762141E-05
  834.547974  0.000510583399  2.23503739E-05
  843.158325  0.000499933725  2.14614192E-05
  851.857422  0.000489507453  2.06078985E-05
  860.646423  0.000479301903  1.97882855E-05
  869.526001  0.000469309802  1.90012815E-05
  878.497192  0.000459526578  1.8245586E-05
  887.560913  0.000449950981  1.75226905E-05
  896.718201  0.000440576783  1.68286933E-05
  905.96991  0.000431400782  1.61622502E-05
  915.3172  0.00042242129  1.55221041E-05
  924.760803  0.000413631147  1.49073221E-05
  934.30188  0.000405026629  1.43169755E-05
  943.941345  0.000396603107  1.37459901E-05
  953.680359  0.000388355664  1.31957859E-05
  963.519836  0.000380280137  1.26676186E-05
  973.460754  0.000372373441  1.21606354E-05
  983.504333  0.000364631793  1.16739729E-05
  993.651489  0.000357053708  1.12066746E-05
  1003.90332  0.000349634065  1.07581363E-05
  1014.26093  0.000342369749  1.0327607E-05
  1024.72534  0.000335258432  9.9142635E-06
  1035.29785  0.000328295748  9.51746006E-06
  1045.97937  0.000321479019  9.13655094E-06
  1056.77112  0.000314805511  8.77080583E-06
  1067.67419  0.000308271497  8.41970086E-06
  1078.68982  0.000301874999  8.08273398E-06
  1089.81897  0.000295612583  7.75924673E-06
  1101.06299  0.000289481046  7.44870704E-06
  1112.4231  0.00028347873  7.1506347E-06
  1123.90039  0.000277601823  6.86446174E-06
  1135.49597  0.000271847879  6.5897043E-06
  1147.2113  0.000266214949  6.32594129E-06
  1159.04749  0.000260699453  6.07273887E-06
  1171.00574  0.000255299237  5.82967868E-06
  1183.0874  0.000250012701  5.59639011E-06
  1195.2937  0.000244836439  5.37244614E-06
  1207.62598  0.000239768458  5.15742431E-06
  1220.08545  0.000234806532  4.95100494E-06
  1232.67346  0.00022994804  4.75284651E-06
  1245.39136  0.00022519163  4.56263342E-06
  1258.2406  0.00022053445  4.38002417E-06
  1271.22229  0.000215974418  4.20472406E-06
  1284.33789  0.000211510211  4.0364489E-06
  1297.58887  0.00020713883  3.87490627E-06
  1310.97656  0.000202858515  3.71982333E-06
  1324.50232  0.000198667942  3.570952E-06
  1338.1676  0.00019456452  3.42803924E-06
  1351.974  0.000190546634  3.29084014E-06
  1365.92273  0.00018661299  3.1590896E-06
  1380.0155  0.000182761156  3.03259162E-06
  1394.25366  0.000178989489  2.91112042E-06
  1408.63867  0.000175296431  2.79453434E-06
  1423.17188  0.000171680236  2.6826292E-06
  1437.85535  0.000168139843  2.57521083E-06
  1452.69019  0.000164672907  2.47208345E-06
  1467.6781  0.000161278003  2.37307518E-06
  1482.82056  0.000157954215  2.27805185E-06
  1498.11938  0.000154699563  2.18683499E-06
  1513.57605  0.000151513086  2.09926293E-06
  1529.19202  0.000148392573  2.01418129E-06
  1544.96936  0.000145336511  1.93225583E-06
  1560.90918  0.000142343779  1.85367924E-06
  1577.01367  0.000139413052  1.77829224E-06
  1593.2843  0.000136542934  1.70597184E-06
  1609.72278  0.000133732494  1.63659718E-06
  1626.33081  0.000130980203  1.57004581E-06
  1643.11035  0.000128284824  1.50620065E-06
  1660.06274  0.000125645704  1.44495027E-06
  1677.19019  0.00012306108  1.38618748E-06
  1694.49438  0.000120529956  1.32980927E-06
  1711.97705  0.000118051365  1.27573514E-06
  1729.64014  0.000115623996  1.22386166E-06
  1747.48547  0.000113246897  1.17409456E-06
  1765.51489  0.000110919143  1.12635246E-06
  1783.73022  0.000108639542  1.08055224E-06
  1802.13367  0.000106407191  1.03661603E-06
  1820.72681  0.000104221108  9.94468792E-07
  1839.51184  0.000102080208  9.54037091E-07
  1858.49072  9.99837284E-05  9.15247597E-07
  1877.66541  9.79304386E-05  8.78036133E-07
  1897.03796  9.59194876E-05  8.4233767E-07
  1916.61035  9.39504898E-05  8.08092921E-07
  1936.38477  9.20220627E-05  7.75241517E-07
  1956.36316  9.01334133E-05  7.43726673E-07
  1976.54761  8.82839522E-05  7.13492227E-07
  1996.94019  8.64726899E-05  6.84486963E-07
  2017.54346  8.46989715E-05  6.56659722E-07
  2038.35913  8.29618366E-05  6.29712815E-07
  2059.3894  8.12604412E-05  6.03731394E-07
  2080.63696  7.95941523E-05  5.78818288E-07
  2102.10376  7.79621405E-05  5.54936662E-07
  2123.79175  7.63637508E-05  5.32042918E-07
  2145.70361  7.47984377E-05  5.10091354E-07
  2167.84155  7.32652625E-05  4.8904684E-07
  2190.20801  7.17635921E-05  4.68872059E-07
  2212.80518  7.02930556E-05  4.49529836E-07
  2235.63525  6.88527725E-05  4.30986518E-07
  2258.70117  6.74420662E-05  4.13210216E-07
  2282.00488  6.60604856E-05  3.96164893E-07
  2305.54907  6.47073393E-05  3.79822779E-07
  2329.33643  6.33821546E-05  3.64159291E-07
  2353.3689  6.20842402E-05  3.49141033E-07
  2377.64941  6.08129776E-05  3.34741571E-07
  2402.18066  5.9567923E-05  3.20938142E-07
  2426.9646  5.83484543E-05  3.07704795E-07
  2452.00439  5.71540513E-05  2.95017372E-07
  2477.30249  5.59843284E-05  2.82853563E-07
  2502.86182  5.48386197E-05  2.71191908E-07
  2528.68457  5.37164779E-05  2.60011745E-07
  2554.77393  5.26174263E-05  2.49294146E-07
  2581.13257  5.15409229E-05  2.39018931E-07
